CD_DISPOSITIVO,CD_NOME_TAG,VALUE,DT_MODBUS,ALARM,NM_EQUIPAMENTO,DT_MODBUS_CONV
ERPRC5201,ERP_ERPRC5201_BATTERY_REMAINING_CAPACITY,77,1658015230,False,CDC,2022-07-16T23:47:12.000+0000
ERPCA55507,ERP_ERPCA55507_BATTERY_REMAINING_CAPACITY,75,1658015740,False,CDC,2022-07-16T23:55:44.000+0000
CRM4000813490,CRM_CRM4000813490_BATTERY_REMAINING_CAPACITY,71,1658015870,False,CDC,2022-07-16T23:57:52.000+0000
CRM518097,CRM_CRM518097_BATTERY_REMAINING_CAPACITY,75,1658016000,False,CDC,2022-07-17T00:00:00.000+0000
CRM516186,CRM_CRM516186_BATTERY_REMAINING_CAPACITY,73,1658016000,False,CDC,2022-07-17T00:00:00.000+0000
ERPID15502,ERP_ERPID15502_BATTERY_REMAINING_CAPACITY,41,1658016640,False,CDC,2022-07-17T00:10:40.000+0000
CRM653068,CRM_CRM653068_BATTERY_REMAINING_CAPACITY,71,1658016900,False,CDC,2022-07-17T00:14:56.000+0000
ERPCO5201,ERP_ERPCO5201_BATTERY_REMAINING_CAPACITY,58,1658016900,False,CDC,2022-07-17T00:14:56.000+0000
CRM684433,CRM_CRM684433_BATTERY_REMAINING_CAPACITY,77,1658016900,True,CDC,2022-07-17T00:14:56.000+0000
CRM4000545020,CRM_CRM4000545020_BATTERY_REMAINING_CAPACITY,73,1658017020,False,CDC,2022-07-17T00:17:04.000+0000
CRM500388,CRM_CRM500388_BATTERY_REMAINING_CAPACITY,75,1658017150,True,CDC,2022-07-17T00:19:12.000+0000
CRM460482,CRM_CRM460482_BATTERY_REMAINING_CAPACITY,75,1658017410,False,CDC,2022-07-17T00:23:28.000+0000
CRM4000467215,CRM_CRM4000467215_BATTERY_REMAINING_CAPACITY,72,1658017540,False,CDC,2022-07-17T00:25:36.000+0000
CRM778849,CRM_CRM778849_BATTERY_REMAINING_CAPACITY,75,1658017540,False,CDC,2022-07-17T00:25:36.000+0000
ERPPR15505,ERP_ERPPR15505_BATTERY_REMAINING_CAPACITY,75,1658017540,False,CDC,2022-07-17T00:25:36.000+0000
ERPCE15501,ERP_ERPCE15501_BATTERY_REMAINING_CAPACITY,24,1658017660,False,CDC,2022-07-17T00:27:44.000+0000
ERPCPV55502,ERP_ERPCPV55502_BATTERY_REMAINING_CAPACITY,74,1658018180,False,CDC,2022-07-17T00:36:16.000+0000
CRM520239,CRM_CRM520239_BATTERY_REMAINING_CAPACITY,73,1658018430,False,CDC,2022-07-17T00:40:32.000+0000
ERPLM10501,ERP_ERPLM10501_BATTERY_REMAINING_CAPACITY,74,1658018690,False,CDC,2022-07-17T00:44:48.000+0000
ERP148,ERP_ERP148_BATTERY_REMAINING_CAPACITY,71,1658018690,False,CDC,2022-07-17T00:44:48.000+0000
ERPCV15501,ERP_ERPCV15501_BATTERY_REMAINING_CAPACITY,70,1658018690,False,CDC,2022-07-17T00:44:48.000+0000
ERPJU15503,ERP_ERPJU15503_BATTERY_REMAINING_CAPACITY,73,1658018690,False,CDC,2022-07-17T00:44:48.000+0000
CRM790020,CRM_CRM790020_BATTERY_REMAINING_CAPACITY,73,1658018820,False,CDC,2022-07-17T00:46:56.000+0000
ERPCA55503,ERP_ERPCA55503_BATTERY_REMAINING_CAPACITY,72,1658018940,False,CDC,2022-07-17T00:49:04.000+0000
CRM841184,CRM_CRM841184_BATTERY_REMAINING_CAPACITY,36,1658019200,False,CDC,2022-07-17T00:53:20.000+0000
ERP185,ERP_ERP185_BATTERY_REMAINING_CAPACITY,70,1658019330,False,CDC,2022-07-17T00:55:28.000+0000
ERPLM55501,ERP_ERPLM55501_BATTERY_REMAINING_CAPACITY,74,1658019330,False,CDC,2022-07-17T00:55:28.000+0000
CRM368842,CRM_CRM368842_BATTERY_REMAINING_CAPACITY,70,1658019580,False,CDC,2022-07-17T00:59:44.000+0000
CRM707771,CRM_CRM707771_BATTERY_REMAINING_CAPACITY,74,1658019580,False,CDC,2022-07-17T00:59:44.000+0000
CRM684433,CRM_CRM684433_BATTERY_REMAINING_CAPACITY,73,1658019710,True,CDC,2022-07-17T01:01:52.000+0000
CRM898094,CRM_CRM898094_BATTERY_REMAINING_CAPACITY,70,1658019710,False,CDC,2022-07-17T01:01:52.000+0000
CRM500388,CRM_CRM500388_BATTERY_REMAINING_CAPACITY,74,1658019970,True,CDC,2022-07-17T01:06:08.000+0000
ERPIT5101,ERP_ERPIT5101_BATTERY_REMAINING_CAPACITY,71,1658020350,False,CDC,2022-07-17T01:12:32.000+0000
CRM708148,CRM_CRM708148_BATTERY_REMAINING_CAPACITY,71,1658020480,False,CDC,2022-07-17T01:14:40.000+0000
ERPJA15501,ERP_ERPJA15501_BATTERY_REMAINING_CAPACITY,74,1658020740,False,CDC,2022-07-17T01:18:56.000+0000
CRM735498,CRM_CRM735498_BATTERY_REMAINING_CAPACITY,73,1658020990,True,CDC,2022-07-17T01:23:12.000+0000
CRM503086,CRM_CRM503086_BATTERY_REMAINING_CAPACITY,0,1658021120,False,CDC,2022-07-17T01:25:20.000+0000
CRM597183,CRM_CRM597183_BATTERY_REMAINING_CAPACITY,41,1658021380,False,CDC,2022-07-17T01:29:36.000+0000
CRM790020,CRM_CRM790020_BATTERY_REMAINING_CAPACITY,70,1658021500,False,CDC,2022-07-17T01:31:44.000+0000
CRM530846,CRM_CRM530846_BATTERY_REMAINING_CAPACITY,73,1658021630,True,CDC,2022-07-17T01:33:52.000+0000
CRM443367,CRM_CRM443367_BATTERY_REMAINING_CAPACITY,66,1658021630,False,CDC,2022-07-17T01:33:52.000+0000
ERPBP15501,ERP_ERPBP15501_BATTERY_REMAINING_CAPACITY,70,1658021630,False,CDC,2022-07-17T01:33:52.000+0000
CRM899892,CRM_CRM899892_BATTERY_REMAINING_CAPACITY,68,1658021760,False,CDC,2022-07-17T01:36:00.000+0000
CRM911363,CRM_CRM911363_BATTERY_REMAINING_CAPACITY,71,1658021760,False,CDC,2022-07-17T01:36:00.000+0000
ERPCO2101,ERP_ERPCO2101_BATTERY_REMAINING_CAPACITY,54,1658021890,False,CDC,2022-07-17T01:38:08.000+0000
CRM898094,CRM_CRM898094_BATTERY_REMAINING_CAPACITY,70,1658022400,False,CDC,2022-07-17T01:46:40.000+0000
ERPID55501,ERP_ERPID55501_BATTERY_REMAINING_CAPACITY,72,1658022400,False,CDC,2022-07-17T01:46:40.000+0000
CRM640286,CRM_CRM640286_BATTERY_REMAINING_CAPACITY,73,1658022530,False,CDC,2022-07-17T01:48:48.000+0000
ERPAG55501,ERP_ERPAG55501_BATTERY_REMAINING_CAPACITY,70,1658022530,False,CDC,2022-07-17T01:48:48.000+0000
ERPPR15505,ERP_ERPPR15505_BATTERY_REMAINING_CAPACITY,73,1658023170,False,CDC,2022-07-17T01:59:28.000+0000
ERPCO25501,ERP_ERPCO25501_BATTERY_REMAINING_CAPACITY,71,1658023300,False,CDC,2022-07-17T02:01:36.000+0000
CRM4000170152,CRM_CRM4000170152_BATTERY_REMAINING_CAPACITY,70,1658023680,False,CDC,2022-07-17T02:08:00.000+0000
CRM4000545020,CRM_CRM4000545020_BATTERY_REMAINING_CAPACITY,71,1658023810,False,CDC,2022-07-17T02:10:08.000+0000
CRM547361,CRM_CRM547361_BATTERY_REMAINING_CAPACITY,73,1658024060,True,CDC,2022-07-17T02:14:24.000+0000
CRM778849,CRM_CRM778849_BATTERY_REMAINING_CAPACITY,72,1658024580,False,CDC,2022-07-17T02:22:56.000+0000
CRM380986,CRM_CRM380986_BATTERY_REMAINING_CAPACITY,70,1658024580,True,CDC,2022-07-17T02:22:56.000+0000
CRM4000545020,CRM_CRM4000545020_BATTERY_REMAINING_CAPACITY,71,1658024700,False,CDC,2022-07-17T02:25:04.000+0000
CRM4000502306,CRM_CRM4000502306_BATTERY_REMAINING_CAPACITY,72,1658024700,False,CDC,2022-07-17T02:25:04.000+0000
ERPCA15502,ERP_ERPCA15502_BATTERY_REMAINING_CAPACITY,74,1658024830,False,CDC,2022-07-17T02:27:12.000+0000
ERPJU5101,ERP_ERPJU5101_BATTERY_REMAINING_CAPACITY,67,1658025090,False,CDC,2022-07-17T02:31:28.000+0000
CRM925589,CRM_CRM925589_BATTERY_REMAINING_CAPACITY,68,1658025090,False,CDC,2022-07-17T02:31:28.000+0000
ERPID55501,ERP_ERPID55501_BATTERY_REMAINING_CAPACITY,70,1658025220,False,CDC,2022-07-17T02:33:36.000+0000
ERPSAP5101,ERP_ERPSAP5101_BATTERY_REMAINING_CAPACITY,69,1658025340,False,CDC,2022-07-17T02:35:44.000+0000
CRM487835,CRM_CRM487835_BATTERY_REMAINING_CAPACITY,71,1658025340,True,CDC,2022-07-17T02:35:44.000+0000
ERPPR15504,ERP_ERPPR15504_BATTERY_REMAINING_CAPACITY,51,1658025600,False,CDC,2022-07-17T02:40:00.000+0000
ERPPR15507,ERP_ERPPR15507_BATTERY_REMAINING_CAPACITY,65,1658026110,False,CDC,2022-07-17T02:48:32.000+0000
ERPPR15504,CRM_ERPPR15504_BATTERY_REMAINING_CAPACITY,51,1658026110,False,CDC,2022-07-17T02:48:32.000+0000
CRM629540,CRM_CRM629540_BATTERY_REMAINING_CAPACITY,68,1658026500,False,CDC,2022-07-17T02:54:56.000+0000
CRM536432,CRM_CRM536432_BATTERY_REMAINING_CAPACITY,71,1658026620,False,CDC,2022-07-17T02:57:04.000+0000
ERPLM55501,ERP_ERPLM55501_BATTERY_REMAINING_CAPACITY,69,1658026750,False,CDC,2022-07-17T02:59:12.000+0000
CRM368842,CRM_CRM368842_BATTERY_REMAINING_CAPACITY,69,1658027010,False,CDC,2022-07-17T03:03:28.000+0000
CRM713668,CRM_CRM713668_BATTERY_REMAINING_CAPACITY,22,1658027010,True,CDC,2022-07-17T03:03:28.000+0000
ERPID15504,ERP_ERPID15504_BATTERY_REMAINING_CAPACITY,68,1658027140,False,CDC,2022-07-17T03:05:36.000+0000
CRM459758,CRM_CRM459758_BATTERY_REMAINING_CAPACITY,16,1658027140,False,CDC,2022-07-17T03:05:36.000+0000
CRM476398,CRM_CRM476398_BATTERY_REMAINING_CAPACITY,72,1658027260,False,CDC,2022-07-17T03:07:44.000+0000
ERPSU55502,ERP_ERPSU55502_BATTERY_REMAINING_CAPACITY,70,1658027260,False,CDC,2022-07-17T03:07:44.000+0000
